Date,benchmark,GDP,CSUSHPINSA,DGS10,TEDRATE,FEDFUNDS,PCE,UNRATE,RECPROUSM156N,VIXCLS,XOI.Index,YIELD_SLOPE,XAU.Curncy,CSENT,PAYEMS,OAS,SP500,TELECOMEXPORT,PPI_TELECOM,PPI_SOFTWARE,PPI_Semiconductor
10/31/2000,-0.080775444,0.011087677,0.005506814,0.0577,0.0057,0.0651,0.000940244,0.039,0.0268,0.148760331,-0.014828739,-0.00163,-0.033181404,0.017013233,0.001722562,0.0809,-0.004949496,0.031822565,-0.019292605,0.00096432,-0.003367003
11/30/2000,-0.234329233,0.011087677,0.005198181,0.0548,0.0068,0.0651,0.002153304,0.039,0.044,0.254760897,-0.026538439,-0.00145,0.019988686,-0.085501859,0.001070979,0.0901,-0.08006856,0,-0.018579235,-0.015414258,-0.002252252
12/31/2000,-0.087222647,0.011087677,0.004617232,0.0512,0.0067,0.064,0.00643161,0.039,0.0806,-0.094435076,0.061670956,0.00016,0.006655574,-0.037601626,-0.000188351,0.0846,0.004053386,0.009345794,0.002227171,-0.001956947,-0.007900677
1/31/2001,0.172170997,0.003421985,0.003952569,0.0519,0.0056,0.0598,0.004398848,0.042,0.1576,-0.179888268,-0.015421911,0.00542,-0.023507805,-0.043294615,0.000542553,0.0761,0.034636592,0.009259259,-0.038888889,0.005882353,0
2/28/2001,-0.290617849,0.003421985,0.00384545,0.0492,0.0032,0.0549,0.00278182,0.042,0.1868,0.28746594,-0.004905489,0.00506,0.004889976,0.009933775,-0.000203347,0.0792,-0.092290686,-0.002752294,0.042774566,-0.006822612,-0.004550626
3/31/2001,-0.140322581,0.003421985,0.006931777,0.0493,0.0068,0.0531,-0.001024284,0.043,0.2268,0.010229277,0.007708559,0.00737,-0.034437582,-0.033879781,-0.002109212,0.085,-0.06420472,-0.007359706,-0.009977827,0.002944063,-0.002285714
4/30/2001,0.195121951,0.012396412,0.007699275,0.0535,0.0048,0.048,0.002007946,0.044,0.2638,-0.110335196,0.104563312,0.01062,0.023647994,0.040723982,-0.000294404,0.0769,0.076814355,0.000926784,-0.004479283,0.015655577,-0.002290951
5/31/2001,-0.051805338,0.012396412,0.008539326,0.0543,0.0044,0.0421,0.00666553,0.043,0.27,-0.111459969,0.002325581,0.01193,0.006816891,0.006521739,-0.000981636,0.0806,0.005090199,-0.000925926,0.006749156,-0.020231214,-0.002296211
6/30/2001,0.018211921,0.012396412,0.009536542,0.0542,0.0027,0.0397,0.001976536,0.045,0.2748,-0.158127208,-0.063651563,0.0117,0.018807598,-0.002159827,-0.00083899,0.0826,-0.025003583,0.00463392,-0.002234637,0.014749263,-0.004602992
7/31/2001,-0.073170732,0.000103587,0.008475324,0.0507,0.0021,0.0377,0.001704922,0.046,0.2598,0.134312697,-0.001038535,0.01257,-0.015506738,-0.00974026,-0.001180111,0.0805,-0.010772447,-0.012915129,-0.002239642,-0.020348837,-0.002312139
8/31/2001,-0.131578947,0.000103587,0.006653243,0.0485,0.0016,0.0365,0.005190457,0.049,0.2378,0.152636448,0.001039615,0.01203,0.029064317,-0.106010929,-0.001825274,0.0924,-0.064108386,-0.003738318,0,0.011869436,-0.00811124
9/30/2001,-0.219191919,0.000103587,0.004174276,0.046,0.0024,0.0307,-0.0127762,0.05,0.2298,0.281300161,-0.092356746,0.01737,0.068695335,0.011002445,-0.002481145,0.098,-0.08172339,-0.010318949,-0.001122334,0,-0.002336449
10/31/2001,0.216041397,0.005811465,0.001818654,0.043,0.0019,0.0249,0.027697454,0.053,0.1704,0.05104917,0.019692468,0.01809,-0.046376812,0.014510278,-0.002213483,0.0879,0.018099026,0.005687204,0.006741573,0.004887586,-0.00117096
11/30/2001,0.14893617,0.005811465,0.001383126,0.0478,0.0028,0.0209,-0.005599846,0.055,0.1238,-0.289630513,-0.033801209,0.01911,-0.018773467,0.058402861,-0.001311215,0.0829,0.07517598,-0.012252592,0,-0.008754864,0.001172333
12/31/2001,-0.014814815,0.005811465,0.001899171,0.0507,0.0017,0.0182,-0.002718597,0.057,0.0508,-0.001677852,0.059474328,0.02025,0.016581633,0.047297297,-0.001030503,0.0815,0.007573829,-0.017175573,-0.003348214,-0.026496565,0
1/31/2002,0.009398496,0.012440338,0.003274169,0.0507,0.0015,0.0173,0.003852573,0.057,0.018,-0.113865546,-0.022673513,0.01874,0.012905539,-0.024731183,-0.001039207,0.081,-0.015573828,-0.005825243,-0.002239642,0,0.003512881
2/28/2002,-0.145251397,0.012440338,0.004122295,0.0488,0.0014,0.0174,0.005819028,0.057,0.0132,0.023707918,0.035182999,0.01816,0.049548752,0.055126792,-0.000160633,0.0733,-0.020766236,-0.0078125,-0.005611672,-0.006048387,0.001166861
3/31/2002,0.079520697,0.012440338,0.008638385,0.0542,0.0027,0.0173,0.002341695,0.057,0.0042,-0.194071329,0.075634884,0.01685,0.020569887,-0.028213166,-0.000596732,0.0716,0.036738861,0.00984252,-0.003386005,0,0.003496503
4/30/2002,-0.123107972,0.009258158,0.010853896,0.0511,0.0018,0.0175,0.009468578,0.059,0.0024,0.259195402,-0.04288971,0.018647,0.019164051,0.041935484,-3.83E-05,0.0703,-0.061417652,-0.009746589,0.002265006,-0.010141988,-0.008130081
5/31/2002,-0.038895282,0.009258158,0.013253922,0.0508,0.0019,0.0175,-0.003240035,0.058,0.001,-0.088087631,0.00799483,0.018499,0.058680499,-0.046439628,0.000428695,0.0798,-0.009081455,-0.001968504,0.006779661,0.007172131,-0.005854801
6/30/2002,-0.136733716,0.009258158,0.0127494,0.0486,0.0019,0.0175,0.006050425,0.058,0.0018,0.271271271,0.004615976,0.019861,-0.03705405,-0.046536797,-0.000642767,0.0936,-0.072464719,-0.001972387,0.025813692,-0.001017294,-0.001177856
7/31/2002,-0.092926491,0.009355951,0.011117469,0.0451,0.0014,0.0173,0.007887485,0.058,0.0062,0.261023622,-0.119208679,0.022249,-0.034663699,-0.005675369,-0.000107197,0.0979,-0.078994959,0.009881423,0.00547046,0.00101833,0
8/31/2002,-0.005198777,0.009355951,0.008408117,0.0414,0.0015,0.0174,0.003340427,0.057,0.0062,0.019044646,0.015567102,0.019919,0.030308022,-0.017123288,-0.000459464,0.0985,0.00488142,0.005870841,-0.004352557,0.018311292,-0.002358491
9/30/2002,-0.182293268,0.009355951,0.006093161,0.0363,0.0025,0.0175,-0.003074238,0.057,0.0046,0.215992647,-0.093785034,0.019109,0.034532374,-0.06387921,0.000934673,0.1068,-0.110024343,0.013618677,0.002185792,-0.000999001,0
10/31/2002,0.212406015,0.006050254,0.005179696,0.0393,0.0027,0.0175,0.00581732,0.057,0.005,-0.215419501,-0.032637546,0.022228,-0.017926132,0.044665012,9.95E-05,0.0965,0.086448827,0.032629559,0.010905125,0,-0.003546099
11/30/2002,0.180775194,0.006050254,0.00396385,0.0422,0.0023,0.0134,0.004083381,0.059,0.005,-0.116891458,0.015764875,0.021489,0.001258851,0.029691211,-0.001209227,0.0896,0.057069635,0.011152416,-0.003236246,0.005,0
12/31/2002,-0.146533613,0.006050254,0.004027164,0.0383,0.0018,0.0124,0.007040188,0.06,0.0082,0.040727273,0.022868261,0.022178,0.093980827,-0.049596309,0.000704959,0.0818,-0.060332582,-0.000919118,0.002164502,0.00199005,-0.015421115
1/31/2003,-0.011076923,0.011369406,0.003932363,0.04,0.0019,0.0124,0.003561687,0.058,0.0032,0.089098532,-0.04442306,0.022734,0.057750323,-0.030339806,-0.001140923,0.0843,-0.027414698,0.009199632,-0.005399568,-0.020854022,-0.002409639
2/28/2003,0.013067828,0.011369406,0.005327066,0.0371,0.0016,0.0126,-0.000778415,0.059,0.0046,-0.049406481,-0.002646432,0.021817,-0.049436371,-0.028785982,-0.001602183,0.0804,-0.017003623,0.010938924,-0.017372421,0.006085193,-0.004830918
3/31/2003,-0.002149877,0.011369406,0.007636562,0.0383,0.0016,0.0125,0.007116827,0.059,0.006,-0.016199798,0.009651059,0.023144,-0.035719388,0.108247423,-0.000337843,0.0702,0.008357606,0.017132552,0.001104972,-0.003024194,0
4/30/2003,0.085257002,0.012517722,0.009125358,0.0389,0.002,0.0126,0.004483776,0.06,0.005,-0.27238422,0.001837337,0.023543,0.003259742,0.070930233,-5.38E-05,0.0664,0.081044118,0.021276596,0.004415011,0,0.002427184
5/31/2003,0.102949518,0.012517722,0.01034562,0.0337,0.0019,0.0126,0.000978895,0.061,0.001,-0.082036775,0.094089516,0.020482,0.076502732,-0.026058632,7.68E-05,0.0634,0.050898661,0.021701389,0,0.003033367,0.001210654
6/30/2003,-0.007199794,0.012517722,0.010543083,0.0354,0.0023,0.0122,0.007002034,0.063,6.00E-04,0.002568053,0.005007533,0.022134,-0.049526684,0.013377926,0.000168975,0.0586,0.011322243,0.006796941,0.003296703,-0.004032258,-0.007255139
7/31/2003,0.058016058,0.022380773,0.01065826,0.0449,0.0017,0.0101,0.007885639,0.062,0.001,-0.001536885,-0.023983954,0.026657,0.022950346,-0.01760176,-0.000314854,0.0582,0.016223704,-0.010126582,0.002190581,-0.002024291,0
8/31/2003,0.064626683,0.022380773,0.009728927,0.0445,0.0018,0.0103,0.012217683,0.061,0.0014,-0.044125192,0.038525601,0.024957,0.059827854,-0.017917133,0.000798906,0.0536,0.017873191,0.004262575,-0.001092896,-0.013184584,-0.025578563
9/30/2003,-0.008277765,0.022380773,0.008237717,0.0396,0.0023,0.0101,-0.000621914,0.061,2.00E-04,0.219538379,0.000124974,0.024799,0.026095061,0.021664766,0.001558158,0.0492,-0.011944326,0.010186757,0.00547046,-0.015416238,-0.01125
10/31/2003,0.096684442,0.016489268,0.006565509,0.0433,0.0023,0.0101,0.002108204,0.06,2.00E-04,-0.291373239,0.021076308,0.024752,-0.002854548,0.045758929,8.43E-05,0.0462,0.054961495,0.030252101,-0.007616975,0.002087683,0
11/30/2003,0.016490486,0.016489268,0.005725467,0.0434,0.0026,0.01,0.007578638,0.058,6.00E-04,0.013664596,0.009729134,0.022879,0.036174366,-0.011739594,0.000942558,0.0428,0.007128513,0,0,-0.003125,0.002528445
12/31/2003,0.008943428,0.016489268,0.006197305,0.0427,0.0022,0.0098,0.003006138,0.057,0.0014,0.121936275,0.136471064,0.024266,0.043450961,0.120950324,0.001217281,0.0394,0.050765451,-0.004078303,0.001096491,-0.003134796,-0.011349306
1/31/2004,0.04102247,0.014519634,0.007734727,0.0416,0.0023,0.01,0.00790038,0.057,2.00E-04,-0.09175314,0.001208653,0.02313,-0.031291371,-0.090558767,0.000367034,0.0426,0.017276423,-0.000819001,-0.00109529,-0.004192872,-0.008928571
