,IYW US Equity,GDP,DGS10,CSUSHPINSA,PAYEMS,TEDRATE,FEDFUNDS,NETEXP,PCE,UNRATE,UMCSENT,BAMLH0A0HYM2,RECPROUSM156N,VIXCLS,XOI Index,YIELD_SLOPE,XAU Curncy,LUMSTRUU Index,DXY Curncy,M2 Index,LUGCTRUU Index,TAIEALLGCLCRT100EP,CCSA,JTU5200JOR,ACILOB
2000-12-31,1,10471.2959661,4.0496875,107.794596011,132730.00107,-0.344925373134,0.064,-403.316542524,6978.10639051,0.039,97.306504065,0.0916,0.0806,25.745716946,535.308088578,0.00016,271.25661157,-0.0158463163725,0.0518437385907,-0.00905198776758,-0.0193501173742,193393.0,0.0128064320894,0.034,209094.0
2001-01-31,0,10507.1244103,4.20348747592,108.223937008,132704.999812,-0.636428571429,0.0598,-392.715223198,7008.80437958,0.042,93.6609292503,0.0787,0.1576,20.800653951,526.964336528,0.00542,264.825926274,-0.0153307007888,-0.00868621064061,-0.0101507476843,-0.0164977940627,165822.833739,0.013280505111,0.05,224062.066803
2001-02-28,1,10507.1244103,3.86512195122,108.643830719,132777.000542,-1.43,0.0549,-392.715223198,7028.3027741,0.042,89.5547461369,0.077,0.1868,27.5732804233,524.385070329,0.00506,266.15486618,-0.00569368573265,-0.0133023837157,-0.00755057079912,-0.0102138997854,165823.0,0.013768452994,0.039,224062.0
2001-03-31,1,10507.1244103,3.93202839757,109.406884058,132749.999797,0.209411764706,0.0531,-392.715223198,7021.09897467,0.043,90.5098360656,0.0818,0.2268,27.6501256983,528.447649592,0.00737,256.914334173,-0.0057706515445,-0.0456675470734,-0.0113458606419,-0.0045678921388,165823.0,0.0143076131289,0.035,224062.0
2001-04-30,0,10637.3962446,4.4285046729,110.257640449,132469.997886,-0.936666666667,0.048,-360.421047895,7035.20200392,0.044,87.3649321267,0.0806,0.2638,24.3559811617,583.894664843,0.01062,263.073101685,-0.00138582865575,0.0139080856945,-0.0123980679352,0.00755312239028,170432.027043,0.0149160256375,0.038,221303.987538
2001-05-31,1,10637.3962446,4.44473296501,111.208467023,132430.999706,-0.650909090909,0.0421,-360.421047895,7082.10662139,0.043,91.0391304348,0.0768,0.27,21.5145583039,585.162320186,0.01193,264.856770735,-0.00658637561159,-0.0277987738305,0.00054784871549,-0.00572008487868,170432.0,0.0155740738695,0.036,221304.0
2001-06-30,0,10637.3962446,4.41815498155,112.279446455,132300.999017,-1.35962962963,0.0397,-360.421047895,7096.10197264,0.045,91.6064794816,0.0816,0.2748,17.8721720881,547.782021499,0.0117,269.868460402,-0.00213476705343,-0.00334812086716,-0.00780415833511,-0.00477458451933,170432.0,0.0162558669263,0.041,221304.0
2001-07-31,1,10638.4861036,4.00096646943,113.238404097,132189.99916,-1.07571428571,0.0377,-367.645995418,7108.20170202,0.046,91.3978354978,0.0827,0.2598,20.7384088807,547.278960385,0.01257,265.634249016,-0.0174406183845,0.0195425840587,-0.00577108666281,-0.0243137676485,158710.926149,0.0166978871105,0.039,214327.967452
2001-08-31,1,10638.4861036,3.80463917526,113.99660927,132033.998818,-1.1525,0.0365,-367.645995418,7145.10516366,0.049,90.4901639344,0.0805,0.2378,24.052423756,547.851038535,0.01203,273.42824344,-0.00874989170926,0.033151119732,-0.00648155250441,-0.0126750223339,158711.0,0.0171577523344,0.029,214328.0
2001-09-30,1,10638.4861036,3.54565217391,114.474156924,131792.998171,-0.426666666667,0.0307,-367.645995418,7053.78705846,0.05,80.6814180929,0.1018,0.2298,31.1495427498,497.058245544,0.01737,292.314279625,-0.0147567880277,8.81756458866e-05,-0.0208603240767,-0.00911505122834,158711.0,0.0179330438129,0.034,214328.0
