,IYW US Equity,GDP,DGS10,CSUSHPINSA,PAYEMS,TEDRATE,FEDFUNDS,NETEXP,PCE,UNRATE,UMCSENT,BAMLH0A0HYM2,RECPROUSM156N,VIXCLS,XOI Index,YIELD_SLOPE,XAU Curncy,LUMSTRUU Index,DXY Curncy,M2 Index,LUGCTRUU Index,TAIEALLGCLCRT100EP,CCSA,JTU5200JOR,ACILOB
2000-12-31,74.5625,10472.285,5.12,108.79,132731.0,0.67,0.064,-402.351,6979.1,0.039,98.4,0.0916,0.0806,26.85,536.25,0.016,272.25,974.99,109.56,4905.0,1052.19,193394.0,2306400.0,3.4,209095.0
2001-01-31,87.4,10508.121,5.19,109.22,132706.0,0.56,0.0598,-391.688,7009.8,0.042,94.7,0.0787,0.1576,22.02,527.98,0.542,265.85,990.17,110.52,4955.3,1069.84,165824.0,2395750.0,5.0,224063.0
2001-02-28,62.0,10508.121,4.92,109.64,132778.0,0.32,0.0549,-391.688,7029.3,0.042,90.6,0.077,0.1868,28.35,525.39,0.506,267.15,995.84,112.01,4993.0,1080.88,165824.0,2486500.0,3.9,224063.0
2001-03-31,53.3,10508.121,4.93,110.4,132751.0,0.68,0.0531,-391.688,7022.1,0.043,91.5,0.0818,0.2268,28.64,529.44,0.737,257.95,1001.62,117.37,5050.3,1085.84,165824.0,2585400.0,3.5,224063.0
2001-04-30,63.7,10638.384,5.35,111.25,132471.0,0.48,0.048,-359.331,7036.2,0.044,88.4,0.0806,0.2638,25.48,584.8,1.062,264.05,1003.01,115.76,5113.7,1077.7,170433.0,2697250.0,3.8,221305.0
2001-05-31,60.4,10638.384,5.43,112.2,132432.0,0.44,0.0421,-359.331,7083.1,0.043,92.0,0.0768,0.27,22.64,586.16,1.193,265.85,1009.66,119.07,5110.9,1083.9,170433.0,2819250.0,3.6,221305.0
2001-06-30,61.5,10638.384,5.42,113.27,132302.0,0.27,0.0397,-359.331,7097.1,0.045,92.6,0.0816,0.2748,19.06,548.85,1.17,270.85,1011.82,119.47,5151.1,1089.1,170433.0,2947400.0,4.1,221305.0
2001-07-31,57.0,10639.486,5.07,114.23,132191.0,0.21,0.0377,-366.666,7109.2,0.046,92.4,0.0827,0.2598,21.62,548.28,1.257,266.65,1029.78,117.18,5181.0,1116.24,158712.0,3030750.0,3.9,214329.0
2001-08-31,49.5,10639.486,4.85,114.99,132035.0,0.16,0.0365,-366.666,7146.1,0.049,91.5,0.0805,0.2378,24.92,548.85,1.203,274.4,1038.87,113.42,5214.8,1130.57,158712.0,3120000.0,2.9,214329.0
2001-09-30,38.65,10639.486,4.6,115.47,131794.0,0.24,0.0307,-366.666,7054.8,0.05,81.8,0.1018,0.2298,31.93,498.16,1.737,293.25,1054.43,113.41,5325.9,1140.97,158712.0,3262200.0,3.4,214329.0
2001-10-31,47.0,10701.317,4.3,115.68,131467.0,0.19,0.0249,-357.048,7250.2,0.053,82.7,0.0961,0.1704,33.56,507.97,1.809,279.65,1069.01,114.86,5312.1,1169.92,182404.0,3527500.0,3.3,209424.0
2001-11-30,54.0,10701.317,4.78,115.84,131176.0,0.28,0.0209,-357.048,7209.6,0.055,83.9,0.0839,0.1238,23.84,490.8,1.911,274.4,1059.13,116.13,5355.5,1150.72,182404.0,3656500.0,2.5,209424.0
2001-12-31,53.2,10701.317,5.07,116.06,131004.0,0.17,0.0182,-357.048,7190.0,0.057,88.8,0.0824,0.0508,23.8,519.99,2.025,278.95,1055.14,116.75,5408.4,1141.65,182404.0,3589400.0,2.4,209424.0
2002-01-31,53.7,10834.445,5.07,116.44,130869.0,0.15,0.0173,-375.263,7217.7,0.057,93.0,0.0789,0.018,21.09,508.2,1.874,282.55,1064.91,120.21,5428.8,1150.04,176933.0,3550500.0,5.2,207895.0
2002-02-28,45.9,10834.445,4.88,116.92,130733.0,0.14,0.0174,-375.263,7259.7,0.057,90.7,0.0819,0.0132,21.59,526.08,1.816,296.55,1077.03,119.16,5457.9,1159.8,176933.0,3554250.0,2.2,207895.0
2002-03-31,49.55,10834.445,5.42,117.93,130712.0,0.27,0.0173,-375.263,7276.7,0.057,95.7,0.0708,0.0042,17.4,565.87,1.685,302.65,1065.62,118.62,5470.1,1136.27,176933.0,3610800.0,3.1,207895.0
2002-04-30,43.45,10934.752,5.11,119.21,130634.0,0.18,0.0175,-415.978,7345.6,0.059,93.0,0.0688,0.0024,21.91,541.6,1.8647,308.45,1085.8,115.19,5470.1,1158.28,181328.0,3689250.0,3.2,210936.0
2002-05-31,41.76,10934.752,5.08,120.79,130629.0,0.19,0.0175,-415.978,7321.8,0.058,96.9,0.0728,0.001,19.98,545.93,1.8499,326.55,1093.68,111.81,5495.7,1168.97,181328.0,3712000.0,2.4,210936.0
2002-06-30,36.05,10934.752,4.86,122.33,130685.0,0.19,0.0175,-415.978,7366.1,0.058,92.4,0.0875,0.0018,25.4,548.45,1.9861,314.45,1102.7,106.11,5519.9,1178.91,181328.0,3635200.0,2.7,210936.0
2002-07-31,32.7,11037.057,4.51,123.69,130601.0,0.14,0.0173,-431.634,7424.2,0.058,88.1,0.0971,0.0062,32.03,483.07,2.2249,303.55,1115.32,107.41,5562.3,1193.11,197777.0,3504250.0,3.2,207734.0
2002-08-31,32.53,11037.057,4.14,124.73,130587.0,0.15,0.0174,-431.634,7449.0,0.057,87.6,0.0961,0.0062,32.64,490.59,1.9919,312.75,1124.09,106.98,5604.6,1219.86,197777.0,3516800.0,2.7,207734.0
2002-09-30,26.6,11037.057,3.63,125.49,130527.0,0.25,0.0175,-431.634,7426.1,0.057,86.1,0.1033,0.0046,39.69,444.58,1.9109,323.55,1132.07,106.87,5629.4,1246.1,197777.0,3555000.0,2.0,207734.0
2002-10-31,32.25,11103.834,3.93,126.14,130649.0,0.27,0.0175,-482.967,7469.3,0.057,80.6,0.1059,0.005,31.14,430.07,2.2228,317.75,1136.4,106.64,5673.6,1234.19,204756.0,3555750.0,3.3,207114.0
2002-11-30,38.08,11103.834,4.22,126.64,130662.0,0.23,0.0134,-482.967,7499.8,0.059,84.2,0.0883,0.005,27.5,436.85,2.1489,318.15,1135.59,106.38,5723.2,1234.92,204756.0,3482400.0,2.8,207114.0
2002-12-31,32.5,11103.834,3.83,127.15,130504.0,0.18,0.0124,-482.967,7552.6,0.06,86.7,0.089,0.0082,28.62,446.84,2.2178,348.05,1147.45,101.85,5744.2,1267.64,204756.0,3482750.0,2.2,207114.0
2003-01-31,32.14,11230.078,4.0,127.65,130596.0,0.19,0.0124,-501.593,7579.5,0.058,82.4,0.0829,0.0032,31.17,426.99,2.2734,368.15,1150.25,99.91,5776.9,1267.6,187381.0,3414500.0,3.7,205960.0
2003-02-28,32.56,11230.078,3.71,128.33,130447.0,0.16,0.0126,-501.593,7573.6,0.059,79.9,0.0838,0.0046,29.63,425.86,2.1817,349.95,1157.96,99.71,5812.9,1290.18,187381.0,3437000.0,2.1,205960.0
2003-03-31,32.49,11230.078,3.83,129.31,130238.0,0.16,0.0125,-501.593,7627.5,0.059,77.6,0.0772,0.006,29.15,429.97,2.3144,337.45,1158.06,98.88,5833.6,1288.5,187381.0,3540800.0,2.2,205960.0
2003-04-30,35.26,11370.653,3.89,130.49,130194.0,0.2,0.0126,-501.364,7661.7,0.06,86.0,0.0644,0.005,21.21,430.76,2.3543,338.55,1162.9,97.19,5870.6,1302.27,188546.0,3629750.0,3.5,207676.0
2003-05-31,38.89,11370.653,3.37,131.84,130187.0,0.19,0.0126,-501.364,7669.2,0.061,92.1,0.0679,0.001,19.47,471.29,2.0482,364.45,1163.86,93.29,5931.5,1339.28,188546.0,3719200.0,2.4,207676.0
2003-06-30,38.61,11370.653,3.54,133.23,130197.0,0.23,0.0122,-501.364,7722.9,0.063,89.7,0.0613,0.0006,19.52,473.65,2.2134,346.4,1165.76,94.73,5968.2,1333.92,188546.0,3701500.0,2.2,207676.0
2003-07-31,40.85,11625.137,4.49,134.65,130219.0,0.17,0.0101,-499.917,7783.8,0.062,90.9,0.0567,0.001,19.49,462.29,2.6657,354.35,1143.92,96.89,6014.9,1278.0,199863.0,3616250.0,3.0,208539.0
2003-08-31,43.49,11625.137,4.45,135.96,130178.0,0.18,0.0103,-499.917,7878.9,0.061,89.3,0.0546,0.0014,18.63,480.1,2.4957,375.55,1152.06,98.1,6072.7,1286.43,199863.0,3596400.0,3.0,208539.0
2003-09-30,43.13,11625.137,3.96,137.08,130282.0,0.23,0.0101,-499.917,7874.0,0.061,87.7,0.0551,0.0002,22.72,480.16,2.4799,385.35,1171.69,92.85,6044.8,1327.18,199863.0,3575750.0,2.3,208539.0
2003-10-31,47.3,11816.827,4.33,137.98,130485.0,0.23,0.0101,-511.744,7890.6,0.06,89.6,0.0473,0.0002,16.1,490.28,2.4752,384.25,1167.63,92.73,6035.1,1310.38,240212.0,3486250.0,3.0,204529.0
2003-11-30,48.08,11816.827,4.34,138.77,130496.0,0.26,0.01,-511.744,7950.4,0.058,93.7,0.0448,0.0006,16.32,495.05,2.2879,398.15,1170.07,90.23,6039.7,1313.86,240212.0,3373400.0,2.5,204529.0
2003-12-31,48.51,11816.827,4.27,139.63,130619.0,0.22,0.0098,-511.744,7974.3,0.057,92.6,0.0418,0.0014,18.31,562.61,2.4266,415.45,1182.64,86.92,6037.4,1326.82,240212.0,3270250.0,2.3,204529.0
2004-01-31,50.5,11988.403,4.16,140.71,130778.0,0.23,0.01,-546.643,8037.3,0.057,103.8,0.0405,0.0002,16.63,563.29,2.313,402.45,1190.05,87.2,6045.7,1338.87,224025.0,3148200.0,4.1,202236.0
2004-02-29,48.94,11988.403,3.99,142.04,130826.0,0.18,0.0101,-546.643,8072.1,0.056,94.4,0.0434,0.0,14.55,593.42,2.3301,396.15,1200.08,87.31,6084.6,1355.25,224025.0,3114750.0,3.1,202236.0
2004-03-31,47.45,11988.403,3.86,144.09,131157.0,0.18,0.01,-546.643,8121.0,0.058,95.8,0.0441,0.0004,16.74,593.86,2.263,426.45,1205.34,87.61,6120.6,1367.69,224025.0,3046250.0,2.7,202236.0
2004-04-30,44.46,12181.398,4.53,146.18,131408.0,0.22,0.01,-608.021,8141.6,0.056,94.2,0.0391,0.0002,17.19,604.57,2.1908,386.75,1183.88,90.48,6160.8,1325.7,229846.0,3000750.0,3.7,209074.0
2004-05-31,47.13,12181.398,4.66,148.34,131715.0,0.25,0.01,-608.021,8212.9,0.056,90.2,0.0428,0.0006,15.5,604.71,2.1145,395.55,1181.29,88.9,6237.5,1318.91,229846.0,2975600.0,3.0,209074.0
2004-06-30,48.2,12181.398,4.62,150.52,131792.0,0.3,0.0103,-608.021,8204.6,0.056,95.6,0.041,0.0102,14.34,637.46,1.9034,394.25,1191.74,88.8,6239.3,1324.34,229846.0,2950750.0,2.6,209074.0
2004-07-31,44.02,12367.744,4.5,152.34,131837.0,0.28,0.0126,-637.979,8270.7,0.055,96.7,0.0402,0.001,15.32,651.68,1.7976,391.05,1202.42,89.96,6252.4,1338.33,266290.0,2917000.0,4.1,212433.0
2004-08-31,41.71,12367.744,4.13,153.81,131956.0,0.23,0.0143,-637.979,8294.4,0.054,95.9,0.0406,0.0008,15.29,639.45,1.7256,409.85,1220.96,88.94,6278.2,1366.65,266290.0,2891500.0,3.1,212433.0
2004-09-30,42.97,12367.744,4.14,155.11,132118.0,0.34,0.0161,-637.979,8373.0,0.054,94.2,0.0383,0.0006,13.34,698.74,1.5144,418.25,1222.82,87.37,6313.1,1371.43,266290.0,2862750.0,4.0,212433.0
2004-10-31,45.44,12562.163,4.05,156.3,132464.0,0.3,0.0176,-684.036,8417.9,0.055,91.7,0.0363,0.0,16.27,695.63,1.4751,428.55,1232.67,84.91,6341.2,1383.31,296998.0,2778000.0,3.9,212636.0
2004-11-30,47.95,12562.163,4.36,157.5,132530.0,0.22,0.0193,-684.036,8458.4,0.054,92.8,0.0317,0.001,13.24,743.85,1.3525,450.95,1229.6,81.82,6368.4,1367.92,296998.0,2734500.0,2.7,212636.0
2004-12-31,48.46,12562.163,4.24,158.67,132659.0,0.38,0.0216,-684.036,8516.5,0.054,97.1,0.031,0.0,13.29,721.12,1.1531,438.45,1238.26,80.85,6387.4,1382.46,296998.0,2719000.0,3.4,212636.0
2005-01-31,45.61,12813.729,4.14,160.14,132795.0,0.27,0.0228,-676.782,8521.2,0.053,95.5,0.0329,0.0018,12.82,745.51,0.8564,422.6,1244.85,83.57,6393.8,1392.07,289534.0,2723800.0,4.3,217418.0
2005-02-28,45.86,12813.729,4.36,161.93,133034.0,0.2,0.025,-676.782,8575.7,0.054,94.1,0.0283,0.0006,12.08,861.39,0.7808,435.65,1239.08,82.51,6401.9,1382.9,289534.0,2686500.0,3.3,217418.0
2005-03-31,44.8,12813.729,4.5,164.58,133169.0,0.39,0.0263,-676.782,8622.5,0.052,92.6,0.0352,0.002,14.02,852.52,0.707,428.35,1236.78,84.06,6410.4,1373.16,289534.0,2659500.0,2.9,217418.0
2005-04-30,42.9,12974.083,4.21,167.0,133533.0,0.37,0.0279,-689.086,8715.9,0.052,87.7,0.0419,0.0006,15.31,816.67,0.5481,434.4,1250.47,84.43,6424.8,1393.75,293943.0,2604400.0,4.2,222162.0
2005-05-31,46.81,12974.083,4.0,169.54,133710.0,0.41,0.03,-689.086,8680.6,0.051,86.9,0.0413,0.0008,13.29,826.41,0.4074,417.25,1260.32,87.76,6441.2,1411.23,293943.0,2586250.0,2.0,222162.0
2005-06-30,45.77,12974.083,3.94,172.01,133955.0,0.46,0.0304,-689.086,8775.3,0.05,96.0,0.0385,0.0008,12.04,888.8,0.2799,435.5,1264.89,89.09,6473.1,1420.45,293943.0,2600000.0,3.5,222162.0
2005-07-31,48.67,13205.445,4.28,174.1,134329.0,0.36,0.0326,-731.395,8867.9,0.05,96.5,0.033,0.005,11.57,942.85,0.2613,429.8,1258.55,89.35,6504.0,1404.46,297246.0,2595200.0,4.2,228350.0
2005-08-31,48.33,13205.445,4.02,175.92,134525.0,0.43,0.035,-731.395,8872.6,0.049,89.1,0.0366,0.0156,12.6,1017.3,0.2023,435.2,1269.7,87.58,6536.2,1425.43,297246.0,2580750.0,3.7,228350.0
2005-09-30,48.64,13205.445,4.34,177.61,134592.0,0.6,0.0362,-731.395,8923.6,0.05,76.9,0.0354,0.1036,11.92,1076.31,0.1591,469.3,1263.02,89.52,6569.6,1406.78,297246.0,2716500.0,3.6,228350.0
2005-10-31,47.46,13381.629,4.57,178.75,134676.0,0.37,0.0378,-787.48,8959.6,0.05,74.2,0.0361,0.0028,15.32,985.62,0.1768,465.19,1254.22,90.07,6604.3,1394.74,304577.0,2803400.0,4.7,232657.0
2005-11-30,51.0,13381.629,4.49,179.68,135017.0,0.56,0.04,-787.48,8987.7,0.05,81.6,0.0367,0.0002,12.06,972.41,0.0772,493.08,1258.3,91.57,6623.9,1401.89,304577.0,2701250.0,3.8,232657.0
2005-12-31,49.72,13381.629,4.39,180.11,135174.0,0.55,0.0416,-787.48,9026.8,0.049,91.5,0.0371,0.0002,12.07,986.83,-0.0085,517.0,1270.61,91.17,6651.2,1415.21,304577.0,2639400.0,4.3,232657.0
2006-01-31,51.79,13648.904,4.53,180.83,135452.0,0.31,0.0429,-777.22,9100.1,0.047,91.2,0.0342,0.0002,12.95,1143.1,-0.0003,568.9,1274.7,88.96,6693.4,1412.62,271687.0,2557000.0,5.2,234546.0
2006-02-28,51.14,13648.904,4.55,181.51,135767.0,0.31,0.0449,-777.22,9134.7,0.048,86.7,0.0337,0.001,12.34,1031.64,-0.1236,561.55,1280.64,90.11,6717.6,1416.44,271687.0,2507250.0,4.8,234546.0
2006-03-31,52.2601,13648.904,4.86,182.75,136049.0,0.48,0.0459,-777.22,9168.1,0.047,88.9,0.0313,0.0012,11.39,1070.55,0.0311,583.65,1269.78,89.73,6730.6,1400.88,271687.0,2455500.0,4.1,234546.0
2006-04-30,51.94,13799.794,5.07,183.65,136232.0,0.48,0.0479,-781.568,9223.3,0.047,87.4,0.0304,0.0014,11.59,1127.66,0.1922,654.43,1269.85,86.11,6769.3,1396.49,283305.0,2401000.0,5.6,242769.0
2006-05-31,47.99,13799.794,5.12,184.38,136257.0,0.5,0.0494,-781.568,9254.1,0.046,79.1,0.0312,0.002,16.44,1098.21,0.0856,645.2,1267.44,84.72,6774.4,1395.71,283305.0,2383750.0,4.3,242769.0
2006-06-30,47.46,13799.794,5.15,184.55,136336.0,0.61,0.0499,-781.568,9283.8,0.046,84.9,0.0335,0.001,13.08,1153.4,-0.0134,615.85,1269.89,85.16,6810.9,1398.92,283305.0,2408500.0,3.7,242769.0
2006-07-31,45.74,13908.498,4.99,184.62,136542.0,0.5,0.0524,-805.59,9360.4,0.047,84.7,0.0345,0.0008,14.95,1203.48,0.0294,636.75,1288.08,85.3,6851.4,1417.13,290119.0,2449400.0,3.1,241346.0
2006-08-31,49.39,13908.498,4.74,184.42,136725.0,0.48,0.0525,-805.59,9368.6,0.047,82.0,0.0349,0.001,12.31,1145.52,-0.0496,627.3,1306.8,85.05,6881.0,1439.54,290119.0,2466250.0,3.4,241346.0
2006-09-30,51.35,13908.498,4.64,184.21,136878.0,0.6,0.0525,-805.59,9393.9,0.045,85.4,0.0344,0.0018,11.98,1083.85,-0.0553,598.3,1315.94,86.03,6907.0,1453.63,290119.0,2446200.0,3.2,241346.0
2006-10-31,53.17,14066.37,4.61,184.06,136886.0,0.42,0.0525,-719.401,9413.3,0.044,93.6,0.0329,0.0016,11.1,1134.81,-0.0945,606.6,1325.48,85.32,6957.0,1462.78,317883.0,2446250.0,3.9,236970.0
2006-11-30,55.22,14066.37,4.46,183.64,137095.0,0.47,0.0525,-719.401,9431.2,0.045,92.1,0.032,0.0012,10.91,1211.91,-0.1503,648.0,1340.68,82.95,6997.5,1479.9,317883.0,2476000.0,3.5,236970.0
2006-12-31,54.45,14066.37,4.71,183.24,137266.0,0.47,0.0524,-719.401,9516.5,0.044,91.7,0.0289,0.0008,11.56,1188.17,-0.1058,636.7,1336.99,83.65,7041.4,1468.68,317883.0,2481200.0,3.2,236970.0
2007-01-31,55.33,14233.226,4.83,182.73,137506.0,0.37,0.0525,-728.479,9553.1,0.046,96.9,0.0272,0.0028,10.42,1164.27,-0.1085,653.2,1337.85,84.6,7078.6,1467.46,286139.0,2524250.0,3.4,245394.0
2007-02-28,53.82,14233.226,4.56,182.48,137595.0,0.34,0.0526,-728.479,9590.8,0.045,91.3,0.0282,0.0004,15.42,1143.42,-0.0766,669.35,1354.35,83.57,7093.7,1492.79,286139.0,2569250.0,3.2,245394.0
2007-03-31,53.95,14233.226,4.65,182.2,137785.0,0.45,0.0526,-728.479,9631.6,0.044,88.4,0.0285,0.0004,14.64,1216.31,0.0699,663.8,1357.92,82.93,7124.3,1490.2,286139.0,2519000.0,3.8,245394.0
