Date,benchmark,GDP,CSUSHPINSA,DGS10,TEDRATE,FEDFUNDS,PCE,UNRATE,RECPROUSM156N,VIXCLS,XOI Index,YIELD_SLOPE,XAU Curncy,CSENT,PAYEMS,OAS,SP500
10/31/2000,0.049001101,0.01109,0.01901,0.0577,0.0057,0.0651,0.000940244,0.039,0.0268,0.148760331,-0.014828739,-0.00163,-0.033181404,0.017013233,0.001722562,0.0809,-0.004949496
11/30/2000,0.000754432,0.01109,0.01662,0.0548,0.0068,0.0651,0.002153304,0.039,0.044,0.254760897,-0.026538439,-0.00145,0.019988686,-0.085501859,0.001070979,0.0901,-0.08006856
12/31/2000,-0.066877822,0.01109,0.0154,0.0512,0.0067,0.064,0.00643161,0.039,0.0806,-0.094435076,0.061670956,0.00016,0.006655574,-0.037601626,-0.000188351,0.0846,0.004053386
1/31/2001,0.10976625,0.00342,0.01383,0.0519,0.0056,0.0598,0.004398848,0.042,0.1576,-0.179888268,-0.015421911,0.00542,-0.023507805,-0.043294615,0.000542553,0.0761,0.034636592
2/28/2001,-0.023199023,0.00342,0.01247,0.0492,0.0032,0.0549,0.00278182,0.042,0.1868,0.28746594,-0.004905489,0.00506,0.004889976,0.009933775,-0.000203347,0.0792,-0.092290686
3/31/2001,0.00392253,0.00342,0.0148,0.0493,0.0068,0.0531,-0.001024284,0.043,0.2268,0.010229277,0.007708559,0.00737,-0.034437582,-0.033879781,-0.002109212,0.085,-0.06420472
4/30/2001,-0.051174692,0.0124,0.01859,0.0535,0.0048,0.048,0.002007946,0.044,0.2638,-0.110335196,0.104563312,0.01062,0.023647994,0.040723982,-0.000294404,0.0769,0.076814355
5/31/2001,0.018720379,0.0124,0.02335,0.0543,0.0044,0.0421,0.00666553,0.043,0.27,-0.111459969,0.002325581,0.01193,0.006816891,0.006521739,-0.000981636,0.0806,0.005090199
6/30/2001,0.079145889,0.0124,0.026,0.0542,0.0027,0.0397,0.001976536,0.045,0.2748,-0.158127208,-0.063651563,0.0117,0.018807598,-0.002159827,-0.00083899,0.0826,-0.025003583
7/31/2001,0.048110426,0.0001,0.02679,0.0507,0.0021,0.0377,0.001704922,0.046,0.2598,0.134312697,-0.001038535,0.01257,-0.015506738,-0.00974026,-0.001180111,0.0805,-0.010772447
