DATE,A34SNO
1992-02-01,19538
1992-03-01,19720
1992-04-01,19017
1992-05-01,20433
1992-06-01,19551
1992-07-01,19700
1992-08-01,19482
1992-09-01,20030
1992-10-01,19187
1992-11-01,21027
1992-12-01,21666
1993-01-01,20541
1993-02-01,20113
1993-03-01,20413
1993-04-01,20516
1993-05-01,20495
1993-06-01,19770
1993-07-01,20734
1993-08-01,21352
1993-09-01,20750
1993-10-01,22212
1993-11-01,21504
1993-12-01,19601
1994-01-01,21516
1994-02-01,22300
1994-03-01,20509
1994-04-01,22665
1994-05-01,22505
1994-06-01,23421
1994-07-01,23762
1994-08-01,22975
1994-09-01,23340
1994-10-01,24094
1994-11-01,23893
1994-12-01,23829
1995-01-01,24307
1995-02-01,23932
1995-03-01,24617
1995-04-01,25903
1995-05-01,26720
1995-06-01,25141
1995-07-01,24896
1995-08-01,25700
1995-09-01,26606
1995-10-01,28407
1995-11-01,27131
1995-12-01,27344
1996-01-01,26027
1996-02-01,26891
1996-03-01,26863
1996-04-01,26655
1996-05-01,27181
1996-06-01,26365
1996-07-01,27499
1996-08-01,27699
1996-09-01,25321
1996-10-01,29984
1996-11-01,29093
1996-12-01,25961
1997-01-01,28145
1997-02-01,30728
1997-03-01,29295
1997-04-01,29922
1997-05-01,29530
1997-06-01,30873
1997-07-01,32570
1997-08-01,31387
1997-09-01,31135
1997-10-01,29844
1997-11-01,30060
1997-12-01,30405
1998-01-01,30554
1998-02-01,31806
1998-03-01,30954
1998-04-01,30361
1998-05-01,31964
1998-06-01,31647
1998-07-01,30003
1998-08-01,29964
1998-09-01,31326
1998-10-01,30272
1998-11-01,31086
1998-12-01,32059
1999-01-01,30567
1999-02-01,31473
1999-03-01,32426
1999-04-01,32525
1999-05-01,32899
1999-06-01,32866
1999-07-01,34503
1999-08-01,34023
1999-09-01,34873
1999-10-01,35455
1999-11-01,34822
1999-12-01,36855
2000-01-01,34317
2000-02-01,33171
2000-03-01,35912
2000-04-01,36415
2000-05-01,36124
2000-06-01,41154
2000-07-01,35704
2000-08-01,37713
2000-09-01,37504
2000-10-01,36320
2000-11-01,36567
2000-12-01,34449
2001-01-01,33966
2001-02-01,33420
2001-03-01,30957
2001-04-01,27554
2001-05-01,28736
2001-06-01,29088
2001-07-01,27625
2001-08-01,27598
2001-09-01,26632
2001-10-01,26377
2001-11-01,27061
2001-12-01,26986
2002-01-01,23998
2002-02-01,25276
2002-03-01,24651
2002-04-01,25192
2002-05-01,25125
2002-06-01,23814
2002-07-01,23570
2002-08-01,23373
2002-09-01,21870
2002-10-01,21225
2002-11-01,22790
2002-12-01,22874
2003-01-01,23054
2003-02-01,22998
2003-03-01,23199
2003-04-01,23301
2003-05-01,24040
2003-06-01,23602
2003-07-01,23769
2003-08-01,24520
2003-09-01,25281
2003-10-01,26280
2003-11-01,24586
2003-12-01,26315
2004-01-01,24379
2004-02-01,24772
2004-03-01,26270
2004-04-01,24377
2004-05-01,25247
2004-06-01,24686
2004-07-01,23510
2004-08-01,23735
2004-09-01,25994
2004-10-01,25093
2004-11-01,24478
2004-12-01,25145
2005-01-01,25063
2005-02-01,25449
2005-03-01,26194
2005-04-01,23845
2005-05-01,24717
2005-06-01,26625
2005-07-01,24115
2005-08-01,26029
2005-09-01,24722
2005-10-01,24348
2005-11-01,25049
2005-12-01,25090
2006-01-01,25409
2006-02-01,26672
2006-03-01,29310
2006-04-01,27520
2006-05-01,26619
2006-06-01,27754
2006-07-01,28033
2006-08-01,27643
2006-09-01,28485
2006-10-01,27114
2006-11-01,29393
2006-12-01,27958
2007-01-01,25901
2007-02-01,29008
2007-03-01,25118
2007-04-01,26412
2007-05-01,27951
2007-06-01,26308
2007-07-01,27316
2007-08-01,27946
2007-09-01,27522
2007-10-01,27794
2007-11-01,27038
2007-12-01,26951
2008-01-01,27583
2008-02-01,27512
2008-03-01,26744
2008-04-01,26721
2008-05-01,27938
2008-06-01,27983
2008-07-01,25444
2008-08-01,26370
2008-09-01,26444
2008-10-01,24177
2008-11-01,25396
2008-12-01,24150
2009-01-01,21184
2009-02-01,23043
2009-03-01,22903
2009-04-01,20526
2009-05-01,21665
2009-06-01,22097
2009-07-01,22286
2009-08-01,21561
2009-09-01,22711
2009-10-01,22259
2009-11-01,22505
2009-12-01,21633
2010-01-01,22370
2010-02-01,21693
2010-03-01,22588
2010-04-01,22584
2010-05-01,21871
2010-06-01,21992
2010-07-01,22540
2010-08-01,23377
2010-09-01,23211
2010-10-01,21677
2010-11-01,23300
2010-12-01,23713
2011-01-01,23701
2011-02-01,23745
2011-03-01,22443
2011-04-01,23186
2011-05-01,23366
2011-06-01,22888
2011-07-01,23079
2011-08-01,23969
2011-09-01,23761
2011-10-01,23922
2011-11-01,23495
2011-12-01,23478
2012-01-01,23130
2012-02-01,23583
2012-03-01,22778
2012-04-01,23490
2012-05-01,23077
2012-06-01,21189
2012-07-01,21757
2012-08-01,20702
2012-09-01,20736
2012-10-01,21399
2012-11-01,21211
2012-12-01,21905
2013-01-01,21074
2013-02-01,20561
2013-03-01,19438
2013-04-01,21437
2013-05-01,21836
2013-06-01,21430
2013-07-01,21040
2013-08-01,20108
2013-09-01,20919
2013-10-01,21265
2013-11-01,21720
2013-12-01,20330
2014-01-01,21223
2014-02-01,21293
2014-03-01,21352
2014-04-01,21702
2014-05-01,20539
2014-06-01,21747
2014-07-01,20652
2014-08-01,21662
2014-09-01,20941
2014-10-01,20730
2014-11-01,19873
2014-12-01,19924
2015-01-01,20399
2015-02-01,20199
2015-03-01,21755
2015-04-01,20764
2015-05-01,20865
2015-06-01,21110
2015-07-01,21230
2015-08-01,21256
2015-09-01,21076
2015-10-01,21326
2015-11-01,21131
2015-12-01,20912
2016-01-01,21626
2016-02-01,21304
