DATE,CCSA
1999-01-01,2287200
1999-02-01,2240500
1999-03-01,2227000
1999-04-01,2237500
1999-05-01,2214400
1999-06-01,2192250
1999-07-01,2193200
1999-08-01,2180250
1999-09-01,2162000
1999-10-01,2102800
1999-11-01,2085750
1999-12-01,2097250
2000-01-01,2109800
2000-02-01,2147500
2000-03-01,2079000
2000-04-01,2015400
2000-05-01,1989500
2000-06-01,2028250
2000-07-01,2085600
2000-08-01,2117250
2000-09-01,2119600
2000-10-01,2116250
2000-11-01,2211250
2000-12-01,2306400
2001-01-01,2395750
2001-02-01,2486500
2001-03-01,2585400
2001-04-01,2697250
2001-05-01,2819250
2001-06-01,2947400
2001-07-01,3030750
2001-08-01,3120000
2001-09-01,3262200
2001-10-01,3527500
2001-11-01,3656500
2001-12-01,3589400
2002-01-01,3550500
2002-02-01,3554250
2002-03-01,3610800
2002-04-01,3689250
2002-05-01,3712000
2002-06-01,3635200
2002-07-01,3504250
2002-08-01,3516800
2002-09-01,3555000
2002-10-01,3555750
2002-11-01,3482400
2002-12-01,3482750
2003-01-01,3414500
2003-02-01,3437000
2003-03-01,3540800
2003-04-01,3629750
2003-05-01,3719200
2003-06-01,3701500
2003-07-01,3616250
2003-08-01,3596400
2003-09-01,3575750
2003-10-01,3486250
2003-11-01,3373400
2003-12-01,3270250
2004-01-01,3148200
2004-02-01,3114750
2004-03-01,3046250
2004-04-01,3000750
2004-05-01,2975600
2004-06-01,2950750
2004-07-01,2917000
2004-08-01,2891500
2004-09-01,2862750
2004-10-01,2778000
2004-11-01,2734500
2004-12-01,2719000
2005-01-01,2723800
2005-02-01,2686500
2005-03-01,2659500
2005-04-01,2604400
2005-05-01,2586250
2005-06-01,2600000
2005-07-01,2595200
2005-08-01,2580750
2005-09-01,2716500
2005-10-01,2803400
2005-11-01,2701250
2005-12-01,2639400
2006-01-01,2557000
2006-02-01,2507250
2006-03-01,2455500
2006-04-01,2401000
2006-05-01,2383750
2006-06-01,2408500
2006-07-01,2449400
2006-08-01,2466250
2006-09-01,2446200
2006-10-01,2446250
2006-11-01,2476000
2006-12-01,2481200
2007-01-01,2524250
2007-02-01,2569250
2007-03-01,2519000
2007-04-01,2496000
2007-05-01,2447750
2007-06-01,2482000
2007-07-01,2542250
2007-08-01,2553000
2007-09-01,2537200
2007-10-01,2561750
2007-11-01,2616750
2007-12-01,2712000
2008-01-01,2798750
2008-02-01,2844250
2008-03-01,2912800
2008-04-01,2964000
2008-05-01,3013600
2008-06-01,3057750
2008-07-01,3176250
2008-08-01,3378000
2008-09-01,3521750
2008-10-01,3731000
2008-11-01,4096600
2008-12-01,4522250
2009-01-01,4861200
2009-02-01,5297000
2009-03-01,5765750
2009-04-01,6184500
2009-05-01,6525600
2009-06-01,6534250
2009-07-01,6139000
2009-08-01,6047800
2009-09-01,5984750
2009-10-01,5765600
2009-11-01,5460500
2009-12-01,5141750
2010-01-01,4839000
2010-02-01,4793750
2010-03-01,4731750
2010-04-01,4728000
2010-05-01,4674800
2010-06-01,4583250
2010-07-01,4528600
2010-08-01,4461250
2010-09-01,4467750
2010-10-01,4363400
2010-11-01,4195500
2010-12-01,4100000
2011-01-01,3918400
2011-02-01,3849250
2011-03-01,3765500
2011-04-01,3770800
2011-05-01,3773750
2011-06-01,3741750
2011-07-01,3721600
2011-08-01,3716000
2011-09-01,3742750
2011-10-01,3701600
2011-11-01,3652500
2011-12-01,3573400
2012-01-01,3451250
2012-02-01,3381750
2012-03-01,3336800
2012-04-01,3323000
2012-05-01,3328000
2012-06-01,3324400
2012-07-01,3305750
2012-08-01,3306250
2012-09-01,3314400
2012-10-01,3276250
2012-11-01,3326250
2012-12-01,3190200
2013-01-01,3140500
2013-02-01,3064000
2013-03-01,3040800
2013-04-01,3040000
2013-05-01,3002250
2013-06-01,2989600
2013-07-01,3020250
2013-08-01,2936400
2013-09-01,2896250
2013-10-01,2925500
2013-11-01,2850800
2013-12-01,2860750
2014-01-01,2893000
2014-02-01,2866750
2014-03-01,2790400
2014-04-01,2723500
2014-05-01,2652000
2014-06-01,2584000
2014-07-01,2536000
2014-08-01,2504200
2014-09-01,2440750
2014-10-01,2412750
2014-11-01,2406800
2014-12-01,2387500
2015-01-01,2373200
2015-02-01,2365500
2015-03-01,2342750
2015-04-01,2282500
2015-05-01,2240800
2015-06-01,2265500
2015-07-01,2244750
2015-08-01,2252800
2015-09-01,2230500
2015-10-01,2192200
2015-11-01,2205000
2015-12-01,2216000
2016-01-01,2232600
2016-02-01,2220750
2016-03-01,2187250
2016-04-01,2153000
2016-05-01,2151000
2016-06-01,2145000
2016-07-01,2143200
2016-08-01,2144750
2016-09-01,2096500
2016-10-01,2054800
2016-11-01,2041000
2016-12-01,2071400
2017-01-01,2068500
2017-02-01,2059750
2017-03-01,2024750
2017-04-01,1978400
2017-05-01,1917750
2017-06-01,1947000
2017-07-01,1962800
2017-08-01,1951000
2017-09-01,1930000
2017-10-01,1896000
2017-11-01,1913333
