DATE,BUSLOANS
1999-01-01,937.8761
1999-02-01,936.0629
1999-03-01,944.5118
1999-04-01,947.2630
1999-05-01,942.5576
1999-06-01,949.9238
1999-07-01,958.4686
1999-08-01,968.931
1999-09-01,974.9264
1999-10-01,978.2245
1999-11-01,1000.2191
1999-12-01,1001.086
2000-01-01,1003.7428
2000-02-01,1016.7336
2000-03-01,1026.2855
2000-04-01,1035.0981
2000-05-01,1052.1725
2000-06-01,1062.9673
2000-07-01,1068.5819
2000-08-01,1071.5502
2000-09-01,1072.7337
2000-10-01,1077.9444
2000-11-01,1080.3792
2000-12-01,1085.3334
2001-01-01,1094.2838
2001-02-01,1094.3765
2001-03-01,1091.9914
2001-04-01,1088.9861
2001-05-01,1084.2571
2001-06-01,1072.2219
2001-07-01,1063.9926
2001-08-01,1055.7901
2001-09-01,1059.1045
2001-10-01,1044.6051
2001-11-01,1033.9291
2001-12-01,1021.8245
2002-01-01,1012.3118
2002-02-01,1016.8406
2002-03-01,1011.7946
2002-04-01,1000.08
2002-05-01,991.091
2002-06-01,984.2613
2002-07-01,976.6708
2002-08-01,972.4187
2002-09-01,966.2023
2002-10-01,962.8751
2002-11-01,960.4197
2002-12-01,957.8175
2003-01-01,950.5663
2003-02-01,941.6069
2003-03-01,937.4775
2003-04-01,934.9662
2003-05-01,924.2208
2003-06-01,917.5253
2003-07-01,921.4582
2003-08-01,909.6424
2003-09-01,899.8313
2003-10-01,886.9895
2003-11-01,881.6804
2003-12-01,883.5571
2004-01-01,876.5643
2004-02-01,874.5715
2004-03-01,869.3821
2004-04-01,864.4065
2004-05-01,863.0147
2004-06-01,869.302
2004-07-01,878.0101
2004-08-01,882.9677
2004-09-01,886.7847
2004-10-01,889.3336
2004-11-01,897.5055
2004-12-01,906.3409
2005-01-01,921.5986
2005-02-01,931.9046
2005-03-01,945.8983
2005-04-01,958.4974
2005-05-01,968.8135
2005-06-01,975.2182
2005-07-01,989.4619
2005-08-01,995.8057
2005-09-01,1000.93
2005-10-01,1014.4776
2005-11-01,1022.4608
2005-12-01,1036.0799
2006-01-01,1048.9522
2006-02-01,1058.5993
2006-03-01,1068.8172
2006-04-01,1084.9241
2006-05-01,1103.3231
2006-06-01,1118.9397
2006-07-01,1130.4087
2006-08-01,1152.2359
2006-09-01,1151.2267
2006-10-01,1161.2716
2006-11-01,1169.7824
2006-12-01,1182.5052
2007-01-01,1192.6078
2007-02-01,1205.2328
2007-03-01,1215.9412
2007-04-01,1226.4254
2007-05-01,1244.526
2007-06-01,1263.9982
2007-07-01,1281.5435
2007-08-01,1307.6438
2007-09-01,1350.1149
2007-10-01,1374.6603
2007-11-01,1393.448
2007-12-01,1417.6031
2008-01-01,1441.1825
2008-02-01,1449.3615
2008-03-01,1470.946
2008-04-01,1489.9856
2008-05-01,1491.2029
2008-06-01,1498.3548
2008-07-01,1511.9309
2008-08-01,1513.7725
2008-09-01,1531.072
2008-10-01,1586.3429
