DATE,ACILOB
1985-01-01,207439
1985-04-01,212004
1985-07-01,212510
1985-10-01,215591
1986-01-01,220518
1986-04-01,222074
1986-07-01,218270
1986-10-01,223094
1987-01-01,225477
1987-04-01,224507
1987-07-01,222688
1987-10-01,225548
1988-01-01,226838
1988-04-01,231738
1988-07-01,231991
1988-10-01,233730
1989-01-01,236357
1989-04-01,239197
1989-07-01,238769
1989-10-01,241142
1990-01-01,238486
1990-04-01,236748
1990-07-01,234764
1990-10-01,233427
1991-01-01,229555
1991-04-01,223399
1991-07-01,212134
1991-10-01,207821
1992-01-01,206021
1992-04-01,200850
1992-07-01,190769
1992-10-01,190165
1993-01-01,186983
1993-04-01,183090
1993-07-01,178933
1993-10-01,182960
1994-01-01,184709
1994-04-01,188920
1994-07-01,186877
1994-10-01,193308
1995-01-01,199157
1995-04-01,207184
1995-07-01,206983
1995-10-01,211893
1996-01-01,216671
1996-04-01,205258
1996-07-01,201924
1996-10-01,204995
1997-01-01,204657
1997-04-01,186027
1997-07-01,182935
1997-10-01,182820
1998-01-01,184704
1998-04-01,188171
1998-07-01,187370
1998-10-01,186853
1999-01-01,193220
1999-04-01,194839
1999-07-01,194470
1999-10-01,197496
2000-01-01,194241
2000-04-01,202655
2000-07-01,205367
2000-10-01,209095
2001-01-01,224063
2001-04-01,221305
2001-07-01,214329
2001-10-01,209424
2002-01-01,207895
2002-04-01,210936
2002-07-01,207734
2002-10-01,207114
2003-01-01,205960
2003-04-01,207676
2003-07-01,208539
2003-10-01,204529
2004-01-01,202236
2004-04-01,209074
2004-07-01,212433
2004-10-01,212636
2005-01-01,217418
2005-04-01,222162
2005-07-01,228350
2005-10-01,232657
2006-01-01,234546
2006-04-01,242769
2006-07-01,241346
2006-10-01,236970
2007-01-01,245394
2007-04-01,252554
2007-07-01,249177
2007-10-01,256197
2008-01-01,255761
2008-04-01,260758
2008-07-01,270993
2008-10-01,262976
2009-01-01,253502
2009-04-01,245530
2009-07-01,236912
2009-10-01,229701
2010-01-01,222751
2010-04-01,215120
2010-07-01,213970
2010-10-01,214375
2011-01-01,211561
2011-04-01,207199
2011-07-01,205055
2011-10-01,206873
2012-01-01,207555
2012-04-01,209549
2012-07-01,211290
2012-10-01,212811
2013-01-01,217230
2013-04-01,217735
2013-07-01,221232
2013-10-01,225610
2014-01-01,232710
2014-04-01,231594
2014-07-01,234835
2014-10-01,238439
2015-01-01,245291
2015-04-01,251461
2015-07-01,251563
2015-10-01,250633
2016-01-01,255902
2016-04-01,262012
2016-07-01,263044
2016-10-01,262175
2017-01-01,264971
2017-04-01,270544
2017-07-01,272702
