DATE,PCU21311121311101
1985-12-01,100.0
1986-01-01,100.2
1986-02-01,97.9
1986-03-01,96.0
1986-04-01,94.9
1986-05-01,94.1
1986-06-01,93.6
1986-07-01,92.6
1986-08-01,91.5
1986-09-01,91.2
1986-10-01,88.8
1986-11-01,87.8
1986-12-01,87.7
1987-01-01,88.1
1987-02-01,87.8
1987-03-01,87.9
1987-04-01,87.7
1987-05-01,87.3
1987-06-01,86.9
1987-07-01,87.4
1987-08-01,87.4
1987-09-01,87.6
1987-10-01,87.7
1987-11-01,87.6
1987-12-01,88.1
1988-01-01,89.2
1988-02-01,90.9
1988-03-01,91.4
1988-04-01,91.1
1988-05-01,90.9
1988-06-01,90.9
1988-07-01,90.9
1988-08-01,88.2
1988-09-01,88.2
1988-10-01,88.3
1988-11-01,88.3
1988-12-01,88.3
1989-01-01,88.3
1989-02-01,88.3
1989-03-01,88.2
1989-04-01,88.2
1989-05-01,88.1
1989-06-01,88.3
1989-07-01,88.6
1989-08-01,88.5
1989-09-01,88.8
1989-10-01,88.8
1989-11-01,89.0
1989-12-01,89.2
1990-01-01,89.8
1990-02-01,89.6
1990-03-01,89.6
1990-04-01,89.7
1990-05-01,89.7
1990-06-01,90.0
1990-07-01,90.4
1990-08-01,90.6
1990-09-01,90.4
1990-10-01,92.0
1990-11-01,92.2
1990-12-01,91.8
1991-01-01,91.8
1991-02-01,91.8
1991-03-01,91.9
1991-04-01,92.3
1991-05-01,92.2
1991-06-01,92.2
1991-07-01,92.0
1991-08-01,91.4
1991-09-01,91.6
1991-10-01,90.9
1991-11-01,90.6
1991-12-01,90.6
1992-01-01,90.6
1992-02-01,89.9
1992-03-01,89.9
1992-04-01,89.9
1992-05-01,90.0
1992-06-01,90.0
1992-07-01,89.8
1992-08-01,89.8
1992-09-01,89.8
1992-10-01,91.0
1992-11-01,91.6
1992-12-01,91.6
1993-01-01,91.6
1993-02-01,91.7
1993-03-01,91.1
1993-04-01,91.2
1993-05-01,91.2
1993-06-01,91.8
1993-07-01,91.8
1993-08-01,92.3
1993-09-01,93.1
1993-10-01,90.0
1993-11-01,90.2
1993-12-01,90.5
1994-01-01,90.8
1994-02-01,91.6
1994-03-01,90.9
1994-04-01,92.2
1994-05-01,92.6
1994-06-01,92.9
1994-07-01,92.8
1994-08-01,92.6
1994-09-01,92.5
1994-10-01,92.8
1994-11-01,97.0
1994-12-01,97.0
1995-01-01,96.6
1995-02-01,96.5
1995-03-01,96.6
1995-04-01,96.1
1995-05-01,96.2
1995-06-01,96.1
1995-07-01,96.4
1995-08-01,96.9
1995-09-01,96.9
1995-10-01,97.2
1995-11-01,97.5
1995-12-01,97.5
1996-01-01,97.5
1996-02-01,97.6
1996-03-01,97.4
1996-04-01,97.7
1996-05-01,98.7
1996-06-01,99.0
1996-07-01,98.8
1996-08-01,98.3
1996-09-01,99.1
1996-10-01,99.5
1996-11-01,99.7
1996-12-01,100.7
1997-01-01,102.4
1997-02-01,102.6
1997-03-01,103.1
1997-04-01,107.3
