DATE,PCU5172105172101
1999-06-01,100.0
1999-07-01,101.0
1999-08-01,99.1
1999-09-01,98.8
1999-10-01,97.9
1999-11-01,97.0
1999-12-01,96.0
2000-01-01,95.4
2000-02-01,94.6
2000-03-01,94.5
2000-04-01,93.5
2000-05-01,94.9
2000-06-01,93.6
2000-07-01,94.0
2000-08-01,92.5
2000-09-01,93.3
2000-10-01,91.5
2000-11-01,89.8
2000-12-01,90.0
2001-01-01,86.5
2001-02-01,90.2
2001-03-01,89.3
2001-04-01,88.9
2001-05-01,89.5
2001-06-01,89.3
2001-07-01,89.1
2001-08-01,89.1
2001-09-01,89.0
2001-10-01,89.6
2001-11-01,89.6
2001-12-01,89.3
2002-01-01,89.1
2002-02-01,88.6
2002-03-01,88.3
2002-04-01,88.5
2002-05-01,89.1
2002-06-01,91.4
2002-07-01,91.9
2002-08-01,91.5
2002-09-01,91.7
2002-10-01,92.7
2002-11-01,92.4
2002-12-01,92.6
2003-01-01,92.1
2003-02-01,90.5
2003-03-01,90.6
2003-04-01,91.0
2003-05-01,91.0
2003-06-01,91.3
2003-07-01,91.5
2003-08-01,91.4
2003-09-01,91.9
2003-10-01,91.2
2003-11-01,91.2
2003-12-01,91.3
2004-01-01,91.2
2004-02-01,90.7
2004-03-01,90.5
2004-04-01,91.2
2004-05-01,90.6
2004-06-01,90.6
2004-07-01,90.8
2004-08-01,90.3
2004-09-01,89.3
2004-10-01,88.5
2004-11-01,87.9
2004-12-01,87.1
2005-01-01,85.4
2005-02-01,82.8
2005-03-01,81.1
2005-04-01,80.9
2005-05-01,79.9
2005-06-01,78.3
2005-07-01,78.3
2005-08-01,77.4
2005-09-01,76.3
2005-10-01,75.1
2005-11-01,74.4
2005-12-01,73.9
2006-01-01,73.7
2006-02-01,73.7
2006-03-01,73.1
2006-04-01,74.5
2006-05-01,73.2
2006-06-01,73.5
2006-07-01,73.7
2006-08-01,73.9
2006-09-01,73.6
2006-10-01,73.0
2006-11-01,73.9
2006-12-01,73.4
2007-01-01,73.0
2007-02-01,72.4
2007-03-01,71.7
2007-04-01,72.9
2007-05-01,73.7
2007-06-01,73.5
2007-07-01,75.6
2007-08-01,73.0
2007-09-01,74.2
2007-10-01,73.4
2007-11-01,72.5
2007-12-01,70.8
2008-01-01,70.6
2008-02-01,69.8
2008-03-01,68.6
2008-04-01,69.9
2008-05-01,69.6
2008-06-01,69.0
2008-07-01,68.0
2008-08-01,69.4
2008-09-01,69.2
2008-10-01,68.2
2008-11-01,68.2
2008-12-01,68.8
2009-01-01,68.0
2009-02-01,68.1
2009-03-01,67.5
2009-04-01,66.9
2009-05-01,67.1
2009-06-01,66.2
2009-07-01,66.2
2009-08-01,67.2
2009-09-01,66.1
2009-10-01,65.8
2009-11-01,65.6
2009-12-01,65.5
2010-01-01,64.9
2010-02-01,64.8
2010-03-01,64.3
2010-04-01,63.5
2010-05-01,64.0
2010-06-01,63.5
2010-07-01,63.6
2010-08-01,63.7
2010-09-01,63.6
2010-10-01,63.2
2010-11-01,62.7
2010-12-01,62.6
2011-01-01,62.1
2011-02-01,62.2
2011-03-01,61.9
2011-04-01,61.2
2011-05-01,61.5
2011-06-01,61.2
2011-07-01,61.0
2011-08-01,61.4
2011-09-01,61.3
2011-10-01,61.0
2011-11-01,60.7
2011-12-01,60.4
2012-01-01,60.3
2012-02-01,59.8
2012-03-01,59.8
2012-04-01,59.1
2012-05-01,59.7
2012-06-01,59.5
2012-07-01,59.4
2012-08-01,60.8
2012-09-01,60.3
2012-10-01,59.6
2012-11-01,59.7
2012-12-01,59.3
2013-01-01,59.4
2013-02-01,59.7
2013-03-01,59.1
2013-04-01,59.5
2013-05-01,59.4
2013-06-01,59.0
2013-07-01,58.7
2013-08-01,59.7
2013-09-01,59.2
2013-10-01,58.8
2013-11-01,58.8
2013-12-01,58.7
2014-01-01,58.3
2014-02-01,58.5
2014-03-01,58.1
2014-04-01,58.3
2014-05-01,57.8
2014-06-01,57.7
2014-07-01,57.0
2014-08-01,57.6
2014-09-01,56.7
2014-10-01,57.0
2014-11-01,55.8
2014-12-01,55.7
2015-01-01,55.3
2015-02-01,53.4
2015-03-01,52.4
2015-04-01,54.1
2015-05-01,52.6
2015-06-01,52.5
2015-07-01,52.4
2015-08-01,52.2
2015-09-01,51.8
2015-10-01,51.4
2015-11-01,50.0
2015-12-01,50.1
2016-01-01,50.2
2016-02-01,49.2
2016-03-01,49.0
2016-04-01,48.9
2016-05-01,48.6
2016-06-01,48.7
2016-07-01,48.4
2016-08-01,48.0
2016-09-01,47.6
2016-10-01,47.6
2016-11-01,46.7
2016-12-01,46.7
2017-01-01,46.6
2017-02-01,45.3
2017-03-01,45.2
2017-04-01,45.3
2017-05-01,44.7
2017-06-01,44.6
2017-07-01,44.4
2017-08-01,44.4
2017-09-01,44.4
2017-10-01,44.2
