DATE,ITXTCIM133S
1999-01-01,1012
1999-02-01,1011
1999-03-01,1006
1999-04-01,992
1999-05-01,1003
1999-06-01,1020
1999-07-01,1033
1999-08-01,1013
1999-09-01,1028
1999-10-01,1055
1999-11-01,1061
1999-12-01,1053
2000-01-01,981
2000-02-01,959
2000-03-01,959
2000-04-01,988
2000-05-01,996
2000-06-01,1015
2000-07-01,1022
2000-08-01,1037
2000-09-01,1037
2000-10-01,1070
2000-11-01,1070
2000-12-01,1080
2001-01-01,1090
2001-02-01,1087
2001-03-01,1079
2001-04-01,1080
2001-05-01,1079
2001-06-01,1084
2001-07-01,1070
2001-08-01,1066
2001-09-01,1055
2001-10-01,1061
2001-11-01,1048
2001-12-01,1030
2002-01-01,1024
2002-02-01,1016
2002-03-01,1026
2002-04-01,1016
2002-05-01,1014
2002-06-01,1012
2002-07-01,1022
2002-08-01,1028
2002-09-01,1042
2002-10-01,1076
2002-11-01,1088
2002-12-01,1087
2003-01-01,1097
2003-02-01,1109
2003-03-01,1128
2003-04-01,1152
2003-05-01,1177
2003-06-01,1185
2003-07-01,1173
2003-08-01,1178
2003-09-01,1190
2003-10-01,1226
2003-11-01,1226
2003-12-01,1221
2004-01-01,1220
2004-02-01,1209
2004-03-01,1228
2004-04-01,1258
2004-05-01,1270
2004-06-01,1262
2004-07-01,1232
2004-08-01,1222
2004-09-01,1230
2004-10-01,1264
2004-11-01,1281
2004-12-01,1287
2005-01-01,1276
2005-02-01,1269
2005-03-01,1273
2005-04-01,1246
2005-05-01,1249
2005-06-01,1251
2005-07-01,1249
2005-08-01,1270
2005-09-01,1307
2005-10-01,1363
2005-11-01,1385
2005-12-01,1376
2006-01-01,1333
2006-02-01,1310
2006-03-01,1319
2006-04-01,1356
2006-05-01,1386
2006-06-01,1407
2006-07-01,1439
2006-08-01,1462
2006-09-01,1497
2006-10-01,1537
2006-11-01,1565
2006-12-01,1573
2007-01-01,1558
2007-02-01,1558
2007-03-01,1566
2007-04-01,1593
2007-05-01,1612
2007-06-01,1636
2007-07-01,1650
2007-08-01,1691
2007-09-01,1746
2007-10-01,1836
2007-11-01,1872
2007-12-01,1875
2008-01-01,1870
2008-02-01,1872
2008-03-01,1898
2008-04-01,1952
2008-05-01,1988
2008-06-01,2005
2008-07-01,1990
2008-08-01,1968
2008-09-01,1931
2008-10-01,1893
2008-11-01,1871
2008-12-01,1882
2009-01-01,1914
2009-02-01,1939
2009-03-01,1947
2009-04-01,1940
2009-05-01,1935
2009-06-01,1936
2009-07-01,1938
2009-08-01,1967
2009-09-01,2017
2009-10-01,2092
2009-11-01,2111
2009-12-01,2080
2010-01-01,1991
2010-02-01,1937
2010-03-01,1918
2010-04-01,1933
2010-05-01,1973
2010-06-01,2033
2010-07-01,2108
2010-08-01,2168
2010-09-01,2208
2010-10-01,2233
2010-11-01,2256
2010-12-01,2281
2011-01-01,2289
2011-02-01,2311
2011-03-01,2347
2011-04-01,2397
2011-05-01,2430
2011-06-01,2448
2011-07-01,2450
2011-08-01,2460
2011-09-01,2479
2011-10-01,2506
2011-11-01,2523
2011-12-01,2531
2012-01-01,2542
2012-02-01,2569
2012-03-01,2612
2012-04-01,2673
2012-05-01,2710
2012-06-01,2724
2012-07-01,2716
2012-08-01,2728
2012-09-01,2759
2012-10-01,2809
2012-11-01,2834
2012-12-01,2835
2013-01-01,2791
2013-02-01,2785
2013-03-01,2814
2013-04-01,2881
2013-05-01,2911
2013-06-01,2906
2013-07-01,2864
2013-08-01,2852
2013-09-01,2868
2013-10-01,2914
2013-11-01,2927
2013-12-01,2906
2014-01-01,2857
2014-02-01,2843
2014-03-01,2876
2014-04-01,2955
2014-05-01,2988
2014-06-01,2974
2014-07-01,2914
2014-08-01,2872
2014-09-01,2848
2014-10-01,2840
2014-11-01,2849
2014-12-01,2874
2015-01-01,2914
2015-02-01,2936
2015-03-01,2940
2015-04-01,2926
2015-05-01,2925
2015-06-01,2937
2015-07-01,2962
2015-08-01,2987
2015-09-01,3010
2015-10-01,3033
2015-11-01,3045
2015-12-01,3048
2016-01-01,3042
2016-02-01,3035
2016-03-01,3027
2016-04-01,3020
2016-05-01,3013
2016-06-01,3005
2016-07-01,2997
2016-08-01,3006
2016-09-01,3031
2016-10-01,3073
2016-11-01,3099
2016-12-01,3109
2017-01-01,3175
2017-02-01,3215
2017-03-01,3229
2017-04-01,3218
2017-05-01,3219
2017-06-01,3231
2017-07-01,3255
2017-08-01,3271
2017-09-01,3279
