DATE,LFWA64TTUSM647S
1977-01-01,135210000.0
1977-02-01,135431000.0
1977-03-01,135650000.0
1977-04-01,135781000.0
1977-05-01,136135000.0
1977-06-01,136292000.0
1977-07-01,136522000.0
1977-08-01,136668000.0
1977-09-01,136873000.0
1977-10-01,137154000.0
1977-11-01,137310000.0
1977-12-01,137449000.0
1978-01-01,137645000.0
1978-02-01,137893000.0
1978-03-01,138013000.0
1978-04-01,138186000.0
1978-05-01,138357000.0
1978-06-01,138608000.0
1978-07-01,138801000.0
1978-08-01,138922000.0
1978-09-01,139176000.0
1978-10-01,139384000.0
1978-11-01,139545000.0
1978-12-01,139793000.0
1979-01-01,140044000.0
1979-02-01,140241000.0
1979-03-01,140466000.0
1979-04-01,140498000.0
1979-05-01,140754000.0
1979-06-01,140994000.0
1979-07-01,141131000.0
1979-08-01,141347000.0
1979-09-01,141434000.0
1979-10-01,141687000.0
1979-11-01,141903000.0
1979-12-01,142017000.0
1980-01-01,142339000.0
1980-02-01,142504000.0
1980-03-01,142658000.0
1980-04-01,142936000.0
1980-05-01,143330000.0
1980-06-01,143489000.0
1980-07-01,143624000.0
1980-08-01,143963000.0
1980-09-01,143981000.0
1980-10-01,144056000.0
1980-11-01,144227000.0
1980-12-01,144246000.0
1981-01-01,144339000.0
1981-02-01,144486000.0
1981-03-01,144630000.0
1981-04-01,144746000.0
1981-05-01,145044000.0
1981-06-01,145276000.0
1981-07-01,145269000.0
1981-08-01,145445000.0
1981-09-01,145567000.0
1981-10-01,145751000.0
1981-11-01,145994000.0
1981-12-01,146177000.0
1982-01-01,146063000.0
1982-02-01,146101000.0
1982-03-01,146327000.0
1982-04-01,146573000.0
1982-05-01,146749000.0
1982-06-01,146874000.0
1982-07-01,146973000.0
1982-08-01,147117000.0
1982-09-01,147349000.0
1982-10-01,147546000.0
1982-11-01,147652000.0
1982-12-01,147792000.0
1983-01-01,147317000.0
1983-02-01,147411000.0
1983-03-01,147691000.0
1983-04-01,148034000.0
1983-05-01,148261000.0
1983-06-01,148231000.0
1983-07-01,148467000.0
1983-08-01,148631000.0
1983-09-01,148787000.0
1983-10-01,148898000.0
1983-11-01,148898000.0
1983-12-01,149020000.0
1984-01-01,149157000.0
1984-02-01,149239000.0
1984-03-01,149379000.0
1984-04-01,149607000.0
1984-05-01,149687000.0
1984-06-01,149786000.0
1984-07-01,149996000.0
1984-08-01,150107000.0
1984-09-01,150240000.0
1984-10-01,150352000.0
1984-11-01,150474000.0
1984-12-01,150646000.0
1985-01-01,150514000.0
1985-02-01,150637000.0
1985-03-01,150814000.0
1985-04-01,150931000.0
1985-05-01,151016000.0
1985-06-01,151256000.0
1985-07-01,151304000.0
1985-08-01,151379000.0
1985-09-01,151519000.0
1985-10-01,151595000.0
1985-11-01,151763000.0
1985-12-01,151904000.0
1986-01-01,152250000.0
1986-02-01,152436000.0
1986-03-01,152588000.0
1986-04-01,152719000.0
1986-05-01,152925000.0
1986-06-01,153057000.0
1986-07-01,153167000.0
1986-08-01,153323000.0
1986-09-01,153426000.0
1986-10-01,153598000.0
1986-11-01,153713000.0
1986-12-01,153788000.0
1987-01-01,153818000.0
1987-02-01,154001000.0
1987-03-01,154181000.0
1987-04-01,154313000.0
1987-05-01,154501000.0
1987-06-01,154705000.0
1987-07-01,154749000.0
1987-08-01,154828000.0
1987-09-01,154928000.0
1987-10-01,155047000.0
1987-11-01,155177000.0
1987-12-01,155266000.0
1988-01-01,155370000.0
1988-02-01,155466000.0
1988-03-01,155585000.0
1988-04-01,155585000.0
1988-05-01,155810000.0
1988-06-01,156019000.0
1988-07-01,156075000.0
1988-08-01,156166000.0
1988-09-01,156285000.0
1988-10-01,156431000.0
1988-11-01,156506000.0
1988-12-01,156596000.0
1989-01-01,156772000.0
1989-02-01,156801000.0
1989-03-01,156794000.0
1989-04-01,156899000.0
1989-05-01,156984000.0
1989-06-01,157028000.0
1989-07-01,157179000.0
1989-08-01,157315000.0
1989-09-01,157641000.0
1989-10-01,157614000.0
1989-11-01,157744000.0
1989-12-01,157929000.0
1990-01-01,159264000.0
1990-02-01,159385000.0
1990-03-01,159439000.0
1990-04-01,159529000.0
1990-05-01,159603000.0
1990-06-01,159747000.0
1990-07-01,159848000.0
1990-08-01,159997000.0
1990-09-01,160181000.0
1990-10-01,160245000.0
1990-11-01,160497000.0
1990-12-01,160658000.0
1991-01-01,160511000.0
1991-02-01,160695000.0
1991-03-01,160829000.0
1991-04-01,160938000.0
1991-05-01,161140000.0
1991-06-01,161225000.0
1991-07-01,161228000.0
1991-08-01,161444000.0
1991-09-01,161478000.0
1991-10-01,161619000.0
1991-11-01,161809000.0
1991-12-01,161988000.0
1992-01-01,161739000.0
1992-02-01,161996000.0
1992-03-01,162163000.0
1992-04-01,162258000.0
1992-05-01,162490000.0
1992-06-01,162434000.0
